B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 3
B10, Trade, 418348.567, 85, B10, S02, 1
B10, Trade, 418539.133, 86, B10, S09, 1
B10, Trade, 418552.667, 86, B10, S03, 1
B10, Trade, 418580.850, 87, B10, S02, 1
B10, Trade, 418717.050, 84, B10, S05, 1
B10, Trade, 418750.317, 85, B10, S07, 1
B10, Trade, 418900.583, 85, B10, S03, 1
B10, Trade, 419757.717, 86, B10, S03, 1
B10, Trade, 419773.083, 85, B10, S04, 1
B10, Trade, 420447.783, 85, B10, S03, 1
B10, Trade, 420463.017, 80, S03, B10, 1
B10, Trade, 420569.250, 81, B10, S03, 1
B10, Trade, 420753.733, 83, B10, S04, 1
B10, Trade, 420812.583, 85, B10, S03, 1
B10, Trade, 421007.750, 87, B10, S08, 1
B10, Trade, 421679.550, 87, B10, S07, 1
B10, Trade, 421806.017, 87, B10, S08, 1
B10, Trade, 421876.933, 85, S01, B10, 1
B10, Trade, 421946.150, 83, B10, S04, 1
B10, Trade, 421966.183, 82, S06, B10, 1
B10, Trade, 422375.783, 85, B10, S03, 1
B10, Trade, 422430.467, 84, B10, S01, 1
B10, Trade, 422504.283, 86, B10, S07, 1
B10, Trade, 422785.167, 87, B10, S01, 1
B10, Trade, 422838.700, 84, B10, S01, 1
B10, Trade, 422893.500, 83, B10, S01, 1
B10, Trade, 422935.050, 81, B10, S07, 1
B10, Trade, 422998.983, 82, B10, S02, 1
B10, Trade, 423404.700, 82, B10, S07, 1
B10, Trade, 423441.950, 85, B10, S08, 1
B10, Trade, 423455.667, 86, B10, S00, 1
B10, Trade, 423545.883, 85, B10, S01, 1
B10, Trade, 423911.183, 87, B10, S03, 1
B10, Trade, 424122.650, 84, B10, S05, 1
B10, Trade, 424188.233, 87, B10, S08, 1
B10, Trade, 424295.800, 87, B10, S03, 1
B10, Trade, 424851.867, 85, B10, S03, 1
B10, Trade, 425942.600, 87, B10, S04, 1
B10, Trade, 426115.017, 81, S01, B10, 1
B10, Trade, 429288.133, 86, B10, S03, 1
B10, Trade, 429606.883, 87, B10, S03, 1
B11, 100
B11, Trade, 428549.717, 89, B11, S08, 1
B11, Trade, 428579.133, 90, B11, S01, 1
B11, Trade, 428635.183, 90, B11, S09, 1
B11, Trade, 428711.850, 90, B11, S03, 1
B11, Trade, 428721.067, 90, B11, S04, 1
B11, Trade, 428739.833, 90, B11, S05, 1
B11, Trade, 428749.700, 90, B11, S08, 1
B11, Trade, 428801.150, 90, B11, S05, 1
B11, Trade, 428803.500, 90, B11, S01, 1
B11, Trade, 428833.750, 89, B11, S04, 1
B11, Trade, 428877.333, 89, B11, S03, 1
B11, Trade, 428885.283, 90, B11, S11, 1
B11, Trade, 428914.300, 90, B11, S00, 1
B11, Trade, 428935.783, 90, B11, S10, 1
B11, Trade, 428957.500, 90, B11, S03, 1
B11, Trade, 428989.500, 90, B11, S06, 1
B11, Trade, 429014.783, 89, B11, S01, 1
B11, Trade, 429025.750, 90, B11, S10, 1
B11, Trade, 429041.700, 90, B11, S03, 1
B11, Trade, 429043.717, 90, B11, S05, 1
B11, Trade, 429074.633, 90, B11, S03, 1
B11, Trade, 429121.417, 90, B11, S02, 1
B11, Trade, 429149.283, 87, B11, S04, 1
B11, Trade, 429175.333, 88, B11, S03, 1
B11, Trade, 429197.950, 90, B11, S05, 1
B11, Trade, 429229.967, 89, B11, S06, 1
B11, Trade, 429265.567, 90, B11, S05, 1
B11, Trade, 429287.850, 90, B11, S04, 1
B11, Trade, 429293.317, 87, B11, S05, 1
B11, Trade, 429371.750, 90, B11, S10, 1
B11, Trade, 429380.617, 90, B11, S04, 1
B11, Trade, 429433.150, 88, B11, S08, 1
B11, Trade, 429470.650, 90, B11, S00, 1
B11, Trade, 429486.917, 90, B11, S04, 1
B11, Trade, 429513.317, 90, B11, S06, 1
B11, Trade, 429532.000, 90, B11, S03, 1
B11, Trade, 429549.200, 89, B11, S01, 1
B11, Trade, 429568.567, 90, B11, S10, 1
B11, Trade, 429601.967, 90, B11, S00, 1
B11, Trade, 429682.033, 89, B11, S03, 1
B11, Trade, 429723.700, 90, B11, S00, 1
B11, Trade, 429740.900, 89, B11, S03, 1
B11, Trade, 429759.667, 90, B11, S03, 1
B11, Trade, 429768.283, 90, B11, S06, 1
B11, Trade, 429809.083, 87, B11, S01, 1
B11, Trade, 429839.017, 90, B11, S03, 1
B11, Trade, 429903.850, 90, B11, S06, 1
B11, Trade, 429970.850, 90, B11, S05, 1
