B03, Trade, 259013.533, 128, B03, S29, 1
B03, Trade, 259022.250, 135, S26, B03, 1
B03, Trade, 259027.800, 131, B03, S28, 1
B03, Trade, 259034.500, 132, S17, B03, 1
B03, Trade, 259041.183, 122, S14, B03, 1
B03, Trade, 259050.267, 138, B03, S17, 1
B03, Trade, 259052.850, 116, S23, B03, 1
B03, Trade, 259061.167, 135, B03, S28, 1
B03, Trade, 259066.383, 135, B03, S14, 1
B03, Trade, 259067.950, 130, B03, S08, 1
B03, Trade, 259074.783, 129, B03, S22, 1
B03, Trade, 259082.150, 128, B03, S03, 1
B03, Trade, 259089.983, 134, B03, S22, 1
B03, Trade, 259097.117, 140, B03, S04, 1
B03, Trade, 259099.183, 139, B03, S02, 1
B03, Trade, 259106.167, 123, B03, S01, 1
B03, Trade, 259110.867, 126, B03, S15, 1
B03, Trade, 259113.933, 116, B03, S00, 1
B03, Trade, 259122.017, 131, B03, S15, 1
B03, Trade, 259123.767, 137, S24, B03, 1
B03, Trade, 259132.400, 110, S00, B03, 1
B03, Trade, 259135.483, 114, B03, S04, 1
B03, Trade, 259143.317, 113, B03, S25, 1
B03, Trade, 259147.650, 121, B03, S19, 1
B03, Trade, 259149.933, 105, B03, S22, 1
B03, Trade, 259157.400, 121, B03, S22, 1
B03, Trade, 259166.867, 108, B03, S28, 1
B03, Trade, 259173.550, 132, B03, S02, 1
B03, Trade, 259177.467, 130, B03, S11, 1
B03, Trade, 259187.317, 127, S04, B03, 1
B03, Trade, 259192.667, 124, B03, S13, 1
B03, Trade, 259196.533, 104, S27, B03, 1
B04, 100
B04, Trade, 258626.733, 128, B04, S27, 1
B04, Trade, 258630.217, 121, B04, S29, 1
B04, Trade, 258637.300, 138, S09, B04, 1
B04, Trade, 258640.217, 136, S14, B04, 1
B04, Trade, 258647.200, 118, S07, B04, 1
B04, Trade, 258653.600, 121, B04, S07, 1
B04, Trade, 258660.883, 124, B04, S12, 1
B04, Trade, 258668.283, 134, B04, S27, 1
B04, Trade, 258670.767, 110, B04, S23, 1
B04, Trade, 258677.183, 124, B04, S04, 1
B04, Trade, 258679.383, 126, B04, S01, 1
B04, Trade, 258684.017, 116, S23, B04, 1
B04, Trade, 258705.467, 97, B04, S27, 1
B04, Trade, 258711.950, 124, S28, B04, 1
B04, Trade, 258717.050, 138, S19, B04, 1
B04, Trade, 258721.567, 138, B04, S21, 1
B04, Trade, 258725.000, 138, B04, S11, 1
B04, Trade, 258729.183, 126, S23, B04, 1
B04, Trade, 258738.567, 121, B04, S15, 1
B04, Trade, 258744.783, 140, B04, S01, 1
B04, Trade, 258752.183, 97, B04, S27, 1
B04, Trade, 258755.933, 130, B04, S19, 1
B04, Trade, 258761.133, 122, B04, S13, 1
B04, Trade, 258771.300, 99, B04, S08, 1
B04, Trade, 258775.617, 118, B04, S23, 1
B04, Trade, 258781.733, 102, S26, B04, 1
B04, Trade, 258786.817, 99, B04, S00, 1
B04, Trade, 258794.567, 126, B04, S15, 1
B04, Trade, 258798.033, 115, B04, S01, 1
B04, Trade, 258802.317, 133, S16, B04, 1
B04, Trade, 258804.467, 121, B04, S06, 1
B04, Trade, 258812.800, 116, B04, S19, 1
B04, Trade, 258819.200, 138, B04, S00, 1
B04, Trade, 258823.900, 124, B04, S11, 1
B04, Trade, 258828.617, 105, B04, S11, 1
B04, Trade, 258830.067, 119, B04, S20, 1
B04, Trade, 258838.083, 106, B04, S01, 1
B04, Trade, 258839.850, 133, S15, B04, 1
B04, Trade, 258847.617, 115, S00, B04, 1
B04, Trade, 258852.967, 114, B04, S19, 1
B04, Trade, 258855.800, 122, B04, S21, 1
B04, Trade, 258863.283, 137, B04, S26, 1
B04, Trade, 258866.900, 137, B04, S20, 1
B04, Trade, 258871.050, 101, B04, S28, 1
B04, Trade, 258887.233, 124, B04, S18, 1
B04, Trade, 258898.133, 137, B04, S21, 1
B04, Trade, 258903.000, 121, B04, S01, 1
B04, Trade, 258908.767, 132, B04, S11, 1
B04, Trade, 258913.717, 112, B04, S26, 1
B04, Trade, 258918.033, 100, B04, S03, 1
B04, Trade, 258921.467, 138, S22, B04, 1
B04, Trade, 258928.300, 127, B04, S15, 1
B04, Trade, 258936.150, 133, S14, B04, 1
B04, Trade, 258942.083, 105, S04, B04, 1
B04, Trade, 258952.367, 124, S13, B04, 1
B04, Trade, 258954.933, 133, B04, S21, 1
B04, Trade, 258956.583, 111, B04, S08, 1
B04, Trade, 258965.100, 109, B04, S08, 1
B04, Trade, 258971.017, 119, B04, S11, 1
B04, Trade, 258980.933, 121, S17, B04, 1
B04, Trade, 258982.167, 104, B04, S04, 1
B04, Trade, 258987.983, 120, B04, S26, 1
B04, Trade, 258991.067, 115, S13, B04, 1
B04, Trade, 258997.117, 103, B04, S19, 1
B04, Trade, 259005.600, 123, S16, B04, 1
B04, Trade, 259010.117, 136, S15, B04, 1
B04, Trade, 259012.900, 130, S14, B04, 1
B04, Trade, 259018.850, 140, B04, S05, 1
B04, Trade, 259027.317, 136, B04, S06, 1
B04, Trade, 259032.650, 106, B04, S04, 1
B04, Trade, 259042.967, 131, B04, S22, 1
B04, Trade, 259052.033, 138, S14, B04, 1
B04, Trade, 259055.617, 122, B04, S21, 1
B04, Trade, 259059.767, 130, S14, B04, 1
B04, Trade, 259064.650, 124, B04, S02, 1
B04, Trade, 259068.000, 126, B04, S13, 1
B04, Trade, 259071.600, 134, B04, S25, 1
B04, Trade, 259079.983, 115, B04, S20, 1
B04, Trade, 259085.833, 128, B04, S16, 1
B04, Trade, 259094.883, 133, B04, S25, 1
B04, Trade, 259097.800, 137, B04, S22, 1
B04, Trade, 259100.900, 130, B04, S11, 1
B04, Trade, 259104.750, 105, B04, S03, 1
B04, Trade, 259109.550, 104, B04, S25, 1
B04, Trade, 259114.583, 133, B04, S20, 1
B04, Trade, 259118.883, 139, S14, B04, 1
B04, Trade, 259127.350, 96, B04, S12, 1
B04, Trade, 259129.733, 126, B04, S03, 1
B04, Trade, 259133.617, 94, S12, B04, 1
B04, Trade, 259142.533, 120, B04, S08, 1
B04, Trade, 259150.417, 115, S27, B04, 1
B04, Trade, 259154.700, 134, B04, S21, 1
B04, Trade, 259162.917, 122, B04, S06, 1
B04, Trade, 259164.567, 140, B04, S04, 1
B04, Trade, 259171.033, 115, B04, S14, 1
B04, Trade, 259175.183, 136, B04, S03, 1
B04, Trade, 259183.483, 137, B04, S24, 1
